what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371001029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371002419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371003639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371003669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371017181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371017391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371023862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371029513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371029573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371032873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371033944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371035455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371052887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371107234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371119985
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371120015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371121116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371122236
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371122286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371221577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371260123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371274255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371275635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371297428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371299008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371364867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371365057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371377018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371446618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371448888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371448948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371466720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371471801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371479751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371484136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379371521191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371522781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371524761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371529054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371560778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371561948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371561988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371580561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371580731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371589213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371590113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371591713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371591873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371596294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371597534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371664112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371673873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371675703
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371684134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379371690296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379371768486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371909632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371927414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371937895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379371999023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379372009934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372097825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372212873
error,log,,,"Unexpected runtime error while computing a text hover",1379372213913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379372267510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372287913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372496309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372499509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372500839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379372505839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372513030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379372516751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379372523002
